Vemurafenib.24h..uM.	Cobimetinib.24h..uM.	egf_time	Type	Sample.ID.s.	col_id
1	0	0	Individual	3	C47
1	0	0	Individual	4	C48
1	0	0	Individual	19	C63
1	0	0	Individual	20	C64
1	0	0	Individual	35	C79
1	0	0	Individual	36	C80
1	0	0.5	Individual	37	C81
1	0	0.5	Individual	38	C82
1	0	1	Individual	39	C83
1	0	1	Individual	40	C84
1	0	2	Individual	41	C85
1	0	2	Individual	42	C86
1	0	3	Individual	43	C87
1	0	3	Individual	44	C88
1	0	4	Individual	45	C89
1	0	4	Individual	46	C90
1	0	8	Individual	47	C91
1	0	8	Individual	48	C92
1	0	0	Individual	67	C111
1	0	0	Individual	68	C112
1	0	0.5	Individual	69	C113
1	0	0.5	Individual	70	C114
1	0	1	Individual	71	C115
1	0	1	Individual	72	C116
1	0	2	Individual	73	C117
1	0	2	Individual	74	C118
1	0	3	Individual	75	C119
1	0	3	Individual	76	C120
1	0	4	Individual	77	C121
1	0	4	Individual	78	C122
1	0	8	Individual	79	C123
1	0	8	Individual	80	C124
